鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
金寧鄉,建物,湖下271~300號,0.0,,,,1091030,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,92.72999999999999,3,2,2,有,無,5500000,59312,,0.0,0,預售屋、或土地及建物分次登記案件;,RPUOMLMKJIPFFAW47DA,68.57,0.0,6.34,有
金寧鄉,建物,湖下271~300號,0.0,,,,1091030,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,76.50999999999999,2,2,1,有,無,4500000,58816,,0.0,0,預售屋、或土地及建物分次登記案件;,SPUOMLMKJIPFFAW57DA,56.34,0.0,5.53,有
金寧鄉,建物,湖下271~300號,0.0,,,,1091030,土地0建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,76.21000000000001,2,2,1,有,無,4600000,60360,,0.0,0,預售屋、或土地及建物分次登記案件;,RPVOMLMKJIPFFAW57DA,55.97,0.0,5.6,有
金寧鄉,建物,湖下271~300號,0.0,,,,1091030,土地0建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,76.50999999999999,2,2,1,有,無,4750000,62083,,0.0,0,預售屋、或土地及建物分次登記案件;,RPWOMLMKJIPFFAW67DA,56.34,0.0,5.53,有
金寧鄉,建物,湖下271~300號,0.0,,,,1091030,土地0建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,76.50999999999999,2,2,1,有,無,4620000,60384,,0.0,0,預售屋、或土地及建物分次登記案件;,RPXOMLMKJIPFFAW77DA,56.34,0.0,5.53,有
金寧鄉,建物,湖下271~300號,0.0,,,,1091030,土地0建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,76.50999999999999,2,2,1,有,無,4720000,61691,,0.0,0,預售屋、或土地及建物分次登記案件;,RPOPMLMKJIPFFAW96DA,56.34,0.0,5.53,有
金寧鄉,建物,湖下301~330號,0.0,,,,1091030,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,92.72999999999999,3,2,2,有,無,5600000,60390,,0.0,0,預售屋、或土地及建物分次登記案件;,RPPPMLMKJIPFFAW07DA,68.57,0.0,6.34,有
金城鎮,土地,北一段481~510地號,331.78,,,,1091027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5556000,16746,,0.0,0,,RPUNMLNKJIPFFAW47DA,0.0,0.0,0.0,無
金城鎮,土地,北一段481~510地號,384.62,都市：其他:農業區,,,1091027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6444000,16754,,0.0,0,,RPVNMLNKJIPFFAW57DA,0.0,0.0,0.0,無
金城鎮,土地,延平段871~900地號,876.47,非都市： ; 非都市編定：,,,1091030,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7449995,8500,,0.0,0,,RPOOMLNKJIPFFAW96DA,0.0,0.0,0.0,無
金沙鎮,土地,青嶼測段511~540地號,461.42,都市：其他:農業區,,,1091028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1300,,0.0,0,,RPXNMLNKJIPFFAW87EA,0.0,0.0,0.0,無
金湖鎮,土地,漁村段391~420地號,200.18,都市：其他:自然村專用區,,,1091105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,14987,,0.0,0,,RPRNMLRKJIPFFAW57DA,0.0,0.0,0.0,無
金寧鄉,土地,寧湖二劃測段631~660地號,607.04,都市：其他:農業區,,,1091109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3295,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLQKJIPFFAW47DA,0.0,0.0,0.0,無
金寧鄉,土地,中三劃測段571~600地號,1207.81,都市：其他:農業區,,,1091111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,4140,,0.0,0,,RPTNMLLKJIPFFAW17DA,0.0,0.0,0.0,無
金寧鄉,土地,中三劃測段301~330地號,953.33,都市：其他:農業區,,,1091111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4400000,4615,,0.0,0,,RPQNMLMKJIPFFAW96DA,0.0,0.0,0.0,無
金寧鄉,房地(土地+建物),環島西路一段239巷2弄1~30號,675.17,都市：其他:農業區,,,1040630,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040911,191.85,4,2,5,有,無,12200000,63591,,0.0,0,,RPRNMLOLRHPFFAW08DA,184.75,0.0,7.1,無
金湖鎮,房地(土地+建物),林兜1~30號,47.08,都市：其他:自然村專用區,,,1090925,土地1建物1車位0,一層，地下一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1040716,107.5,0,0,0,無,無,4050000,37674,,0.0,0,,RPRNMLPLRHPFFAW18DA,82.4,3.52,4.44,無
金寧鄉,土地,寧古劃段1291~1320地號,500.0,都市：其他:國家公園區,,,1091104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2400,,0.0,0,,RPQOMLNKJIPFFAW17DA,0.0,0.0,0.0,無
金湖鎮,土地,漁村段931~960地號,315.93,都市：其他:自然村專用區,,,1091105,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,20574,,0.0,0,,RPSNMLRKJIPFFAW67DA,0.0,0.0,0.0,無
金城鎮,房地(土地+建物),珠浦西路50巷11弄1~30號,14.07,都市：其他:第六種住宅區,,,1091102,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0980520,41.75,1,1,1,有,有,2800000,67066,,0.0,0,陽台外推;,RPPNMLRKJIPFFAW37DA,26.99,2.39,3.78,無
金寧鄉,房地(土地+建物),昔果山31~60號,54.97,都市：其他:自然村專用區,,,1091105,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1021025,94.07,3,2,2,有,無,5350000,56873,,0.0,0,,RPQNMLRKJIPFFAW47DA,83.08,0.0,5.67,無
金城鎮,土地,珠山段931~960地號,929.29,都市：其他:國家公園區,,,1091029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1614,,0.0,0,,RPTNMLRKJIPFFAW87EA,0.0,0.0,0.0,無
