鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
嘉義市,房地(土地+建物)+車位,泰瑞四街61~90號,32.53,都市：其他:住宅區,,,1090917,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870611,147.47,3,2,2,有,有,5000000,33905,升降機械,0.0,0,,RPQNMLQJJIPFFAI48DA,91.09,0.0,8.01,有
嘉義市,房地(土地+建物)+車位,向榮街211~240號,14.56,都市：其他:住宅區,,,1090916,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841013,129.18,3,2,2,有,有,4000000,30967,坡道機械,0.0,0,,RPXOMLTJJIPFFAI96DA,80.96,0.0,10.2,有
嘉義市,房地(土地+建物),中正路661~690號,69.0,都市：其他:商業區,,,1091009,土地3建物1車位0,全,二層,透天厝,住商用,木造,0360130,91.24,1,1,2,有,無,7000000,76721,,0.0,0,其他增建;,RPOPMLTJJIPFFAI78DA,91.24,0.0,0.0,無
嘉義市,房地(土地+建物),文化路451~480號,112.0,都市：其他:住宅區,,,1061227,土地2建物3車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1090414,296.52000000000004,4,2,4,有,無,27870000,93990,,0.0,0,土地總價新台幣1951萬元正。建物總價新台幣836萬元正。,RPRPMLTJJIPFFAI09DA,254.24,0.0,20.42,有
嘉義市,房地(土地+建物),民生南路463巷6弄1~30號,101.44,都市：其他:住宅區,,,1090926,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950822,169.75,4,2,3,有,無,11600000,68336,,0.0,0,頂樓加蓋;,RPTPMLTJJIPFFAI66DA,150.54,0.0,19.21,無
嘉義市,房地(土地+建物),西榮街1~30號,39.63,都市：其他:住宅區,,,1091016,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780606,130.29,3,2,2,有,無,4300000,33003,,0.0,0,,RPUPMLTJJIPFFAI76DA,93.49,0.0,16.62,無
嘉義市,房地(土地+建物),新民路781~810號,87.0,都市：其他:商業區,,,1090911,土地3建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0690606,285.18,7,3,5,有,無,7600000,26650,,0.0,0,其他增建;,RPRQMLTJJIPFFAI56DA,278.17,7.01,0.0,無
嘉義市,土地,劉厝段玉山小段271~300地號,187.07,,,,1090915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11340000,60619,,0.0,0,,RPPNMLKKJIPFFAI87DA,0.0,0.0,0.0,無
嘉義市,土地,劉厝段玉山小段271~300地號,187.74,都市：其他:住宅區,,,1090915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11340000,60403,,0.0,0,,RPQNMLKKJIPFFAI97DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),環興街61~90號,98.38,都市：其他:住宅區,,,1090927,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090713,204.47,4,2,5,有,無,12240000,59862,,0.0,0,土地總價新台幣734萬元整，建物總價新台幣490萬元整。,RPWPMLTJJIPFFAI96DA,193.44,0.0,11.03,無
嘉義市,房地(土地+建物),環興街61~90號,99.99,都市：其他:住宅區,,,1090927,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090713,202.3,4,2,5,有,無,12240000,60504,,0.0,0,土地總價新台幣734萬元整，建物總價新台幣490萬元整。,SPWPMLTJJIPFFAI07DA,193.44,0.0,8.86,無
嘉義市,房地(土地+建物)+車位,德福街1~30號,28.21,都市：其他:住宅區,,,1091013,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831123,246.4,3,2,2,有,有,4800000,19481,升降機械,0.0,0,,RPXNMLQJJIPFFAI66EA,117.81,82.53,0.0,有
嘉義市,房地(土地+建物),北新路271~300號,83.0,,,,1091024,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090803,165.12,4,2,3,有,無,8920000,54021,,0.0,0,土地價格300萬建物價格592萬,RPUNMLKKJIPFFAI48EA,155.65,0.0,9.47,無
嘉義市,土地,湖子內段新民小段331~360地號,180.43,都市：其他:商業區,,,1091104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15009500,83187,,0.0,0,畸零地或有合併使用效益;,RPUNMLLKJIPFFAI58EA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,保安四路61~90號,89.25,都市：其他:商業區,,,1090925,土地1建物1車位1,一層，二層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1060628,252.76999999999998,3,4,4,有,有,18800000,75748,坡道平面,33.93,0,親友、員工、共有人或其他特殊關係間之交易;夾層;,RPQQMLTJJIPFFAI09DA,184.78,0.0,11.0,有
嘉義市,房地(土地+建物),國聖四街31~60號,23.22,都市：其他:住宅區,,,1091025,土地1建物1車位0,三層，四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860709,136.01,3,1,2,有,有,3900000,28674,,0.0,0,,RPTNMLLKJIPFFAI38DA,89.58,3.37,8.47,有
嘉義市,房地(土地+建物),文化路378巷1~30號,58.0,都市：其他:住宅區,,,1091007,土地2建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土加強磚造,0630503,84.59,4,1,2,有,無,3900000,46105,,0.0,0,,RPSNMLKKJIPFFAI18DA,84.59,0.0,0.0,無
嘉義市,土地,港子坪段港坪小段211~240地號,196.0,都市：其他:商業區,,,1090906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9486000,48398,,0.0,0,,RPTNMLKKJIPFFAI28DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),八德路181~210號,15.76,都市：其他:住宅區,,,1091009,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821223,125.53,3,2,2,有,有,4800000,38238,,0.0,0,,RPVOMLKKJIPFFAI58DA,85.56,1.4,12.07,有
嘉義市,房地(土地+建物)+車位,志昇街1~30號,37.78,都市：其他:住宅區,,,1091012,土地2建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,183.64,3,2,2,有,有,6600000,35940,坡道平面,0.0,0,,RPWOMLKKJIPFFAI68DA,96.18,0.0,12.08,有
嘉義市,土地,湖子內段湖美小段151~180地號,615.74,都市：其他:住宅區,,,1090926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31290000,50817,,0.0,0,,RPPOMLQJJIPFFAI48DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物),東洋新481~510號,12.29,都市：其他:住宅區,,,1091028,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720708,39.28,0,0,0,無,有,950000,24185,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLTJJIPFFAI68DA,30.23,0.0,2.54,有
嘉義市,房地(土地+建物),湖子內路1巷31~60號,73.0,都市：其他:住宅區,,,1090707,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0861015,222.42,7,2,3,有,無,6000000,26976,,0.0,0,,RPPOMLTJJIPFFAI78DA,188.54,5.82,28.06,無
嘉義市,房地(土地+建物)+車位,興達路691~720號,14.89,都市：其他:住宅區,,,1091022,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831223,123.1,3,2,2,有,有,4500000,36556,坡道機械,0.0,0,,RPROMLTJJIPFFAI98DA,71.46,0.88,9.5,有
嘉義市,房地(土地+建物),民生南路271~300號,4.76,都市：其他:住宅區,,,1090920,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780203,32.230000000000004,1,0,1,有,有,700000,21719,,0.0,0,,RPXOMLSLRHPFFAI77DA,15.97,0.0,5.22,有
嘉義市,房地(土地+建物),國賢一街61~90號,10.12,都市：其他:住宅區,,,1090923,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810626,140.72,3,2,2,有,有,3600000,25583,,0.0,0,,RPUNMLPLRHPFFAI07DA,85.09,0.0,13.18,有
嘉義市,房地(土地+建物),大雅路二段433巷28弄31~60號,7.16,都市：其他:商業區,,,1090916,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840117,77.91,2,1,1,有,有,3200000,41073,,0.0,0,,RPSNMLKLRHPFFAI98DA,51.02,0.99,3.23,有
嘉義市,房地(土地+建物),竹圍路121~150號,27.73,都市：其他:住宅區,,,1091015,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0860709,163.32,3,2,2,有,有,5000000,30615,,0.0,0,,RPOOMLPJJIPFFAI28DA,116.15,0.0,6.05,有
嘉義市,房地(土地+建物),彌陀路121~150號,9.79,都市：其他:住宅區,,,1091005,土地1建物1車位0,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,129.2,3,2,2,有,有,4060000,31424,,0.0,0,,RPPQMLTJJIPFFAI98DA,89.78,0.0,10.81,有
