鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
南區,土地,喜北段571~600地號,0.0,,,,1091023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,293360,19300,,0.0,0,協議價購;,RPOPMLRLIIPFFCD38DA,0.0,0.0,0.0,無
南區,土地,喜北段571~600地號,0.0,,,,1091023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52505,19303,,0.0,0,協議價購;,RPPPMLRLIIPFFCD48DA,0.0,0.0,0.0,無
南區,土地,喜北段571~600地號,0.0,,,,1091023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52505,19303,,0.0,0,協議價購;,RPQPMLRLIIPFFCD58DA,0.0,0.0,0.0,無
南區,土地,喜北段571~600地號,4.43,都市：其他:細部計畫道路用地,,,1091023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85564,19315,,0.0,0,協議價購;,RPRPMLRLIIPFFCD68DA,0.0,0.0,0.0,無
南區,土地,喜北段571~600地號,585.67,都市：其他:細部計畫道路用地,,,1091023,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11593115,19795,,0.0,0,協議價購;,RPTOMLSLIIPFFCD88DA,0.0,0.0,0.0,無
東區,房地(土地+建物)+車位,崇善路25巷91~120號,13.85,都市：其他:副都心商業區,,,1091013,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990507,150.63,3,2,2,有,有,10500000,69707,坡道平面,0.0,0,陽台外推;其他增建;,RPVNMLTLIIPFFCD09DA,0.0,0.0,0.0,有
東區,房地(土地+建物)+車位,東成街61~90號,40.02,都市：其他:第五種住宅區,,,1091027,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071220,227.58999999999997,3,2,2,有,有,15800000,74783,坡道平面,46.4,2250000,,RPUNMLLMIIPFFCD28DA,0.0,0.0,0.0,有
南區,建物,夏林路31~60號,0.0,,,,1091022,土地0建物1車位0,全,三層,透天厝,住商用,加強磚造,0641107,147.43,3,3,3,有,無,2300000,15601,,0.0,0,本案件僅有建物交易,RPTOMLNJJIPFFCD28DA,0.0,0.0,0.0,無
南區,房地(土地+建物),大同路二段406巷12弄1~30號,42.6,都市：其他:住宅區,,,1091007,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710503,133.1,3,2,2,有,無,3100000,23291,,0.0,0,,RPQOMLOJJIPFFCD08DA,0.0,0.0,0.0,無
東區,房地(土地+建物)+車位,自由路三段1~30號,18.35,都市：其他:第五種住宅區,,,1091013,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851005,174.34,4,2,2,有,有,7700000,44167,坡道平面,0.0,0,陽台外推;,RPTOMLOJJIPFFCD38DA,0.0,0.0,0.0,有
東區,房地(土地+建物),生產路618巷2弄1~30號,56.0,都市：其他:第五種住宅區,,,1090919,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0680417,83.29,3,2,2,有,無,6030000,72398,,0.0,0,其他增建;,RPQOMLPJJIPFFCD18DA,0.0,0.0,0.0,無
南區,房地(土地+建物)+車位,興昌路61~90號,25.63,都市：其他:商業區,,,1091002,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060531,242.61,4,2,3,有,有,12750000,52553,坡道平面,77.96,0,,RPRNMLQJJIPFFCD28DA,0.0,0.0,0.0,有
東區,房地(土地+建物)+車位,立德十一路1~30號,11.74,都市：其他:鄰里商業區,,,1091015,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821027,128.79000000000002,3,2,2,有,有,4600000,35717,坡道機械,0.0,0,,RPUNMLQJJIPFFCD58DA,0.0,0.0,0.0,有
東區,房地(土地+建物)+車位,崇善一街61~90號,10.67,都市：其他:細部計畫道路用地,,,1091014,土地3建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850209,127.58,3,2,2,有,有,5750000,45070,坡道機械,0.0,0,,RPROMLQJJIPFFCD38DA,0.0,0.0,0.0,有
南區,房地(土地+建物),新建路21巷1~30號,38.25,都市：其他:住宅區,,,1091012,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0720718,93.22999999999999,3,2,2,有,無,2300000,24670,,0.0,0,,RPRNMLTJJIPFFCD58DA,0.0,0.0,0.0,無
南區,房地(土地+建物),大同路二段750巷134弄1~30號,56.55,都市：其他:住宅區,,,1090929,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701002,79.72,5,1,3,有,無,4760000,59709,,0.0,0,其他增建;未登記建物;,RPSNMLTJJIPFFCD68DA,0.0,0.0,0.0,無
南區,房地(土地+建物),中華南路二段315巷3弄1~30號,34.04,都市：其他:住宅區,,,1091025,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0710528,92.50999999999999,3,2,2,有,無,2950000,31888,,0.0,0,,RPTOMLTJJIPFFCD88DA,0.0,0.0,0.0,無
東區,房地(土地+建物),裕義路571~600號,180.22,都市：其他:虎尾寮第二種住宅區,,,1090922,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1010712,403.59,7,2,7,有,無,33000000,81766,,0.0,0,其他增建;,RPVOMLKKJIPFFCD28DA,0.0,0.0,0.0,無
東區,房地(土地+建物),裕農路421~450號,33.24,都市：其他:第五種住宅區,,,1091012,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0691029,196.13,4,2,2,有,無,2200000,11217,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRPMLLKJIPFFCD08DA,180.99,0.0,15.14,無
新營區,房地(土地+建物),隋唐街295巷27弄1~30號,89.37,都市：其他:住宅區,,,1090522,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090325,194.85,4,1,5,有,無,11400000,58507,,0.0,0,土地：6840000元房屋：4560000元,RPWNMLTKRHPFFDD37DA,180.11,0.0,14.74,無
新營區,房地(土地+建物),王公里34鄰長榮路一段541~570號,113.01,都市：其他:住宅區,,,1090927,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830927,287.98,5,3,4,有,無,11200000,38892,,0.0,0,,RPTNMLPJIIPFFDD38DA,0.0,0.0,0.0,無
新營區,土地,新榮段571~600地號,60.76,都市：其他:工業區,,,1091102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,880000,14483,,0.0,0,未登記建物一併移轉予承買人。未登記建物;,RPRNMLOJJIPFFDD18DA,0.0,0.0,0.0,無
東山區,房地(土地+建物),東山里7鄰東山301~330號,164.13,都市：其他:住宅區,,,1090813,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090731,270.54,4,2,5,有,無,11600000,42877,,0.0,0,,RPVNMLSLIIPFFED56DA,243.96,0.0,26.58,無
白河區,土地,埤子頭段埤子頭小段2581~2610地號,91.69,,鄉村區,乙種建築用地,1091027,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,676390,7377,,0.0,0,,RPRNMLTJJIPFFED78DA,0.0,0.0,0.0,無
後壁區,土地,新港東段茄苳子小段631~660地號,3194.0,,特定農業區,農牧用地,1091016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4150000,1299,,0.0,0,,RPPNMLKKJIPFFED77DA,0.0,0.0,0.0,無
麻豆區,土地,新樓段361~390地號,5841.34,都市：其他:甲種工業區,,,1090919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67146203,11495,,0.0,0,,RPTNMLPJJIPFFFD68DA,0.0,0.0,0.0,無
