鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
仁武區,房地(土地+建物)+車位,京吉五路1~30號,21.36,都市：其他:社區中心商業區,,,1090923,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090624,166.82,3,2,2,有,有,7900000,48982,坡道平面,33.71,1380000,,RPPNMLPKJIPFFIE78DA,74.88,0.0,9.78,有
仁武區,房地(土地+建物)+車位,京吉五路1~30號,15.87,都市：其他:社區中心商業區,,,1091008,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090624,132.66,2,1,1,有,有,6880000,55887,坡道平面,33.71,1350000,,RPRNMLPKJIPFFIE98DA,58.07,0.0,4.87,有
仁武區,房地(土地+建物)+車位,京吉五路1~30號,15.69,都市：其他:社區中心商業區,,,1091009,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090624,131.56,2,1,1,有,有,6750000,55187,坡道平面,33.71,1350000,,RPSNMLPKJIPFFIE09DA,57.3,0.0,4.88,有
仁武區,房地(土地+建物)+車位,京吉五路1~30號,21.36,都市：其他:社區中心商業區,,,1091016,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090624,166.82,3,2,2,有,有,7820000,48381,坡道平面,33.71,1380000,,RPTNMLPKJIPFFIE56DA,74.88,0.0,9.79,有
仁武區,房地(土地+建物)+車位,京吉五路1~30號,26.99,都市：其他:社區中心商業區,,,1091027,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090624,201.79000000000002,3,2,2,有,有,11450000,58603,坡道平面,33.71,1600000,,RPVNMLPKJIPFFIE76DA,93.9,0.0,12.97,有
大社區,房地(土地+建物),堂內巷1~30號,58.0,都市：其他:住宅區(住二),,,1091026,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0671220,85.12,5,2,3,有,無,4850000,56978,,0.0,0,,RPXPMLRKJIPFFIE37DA,85.12,0.0,0.0,無
仁武區,土地,地號91~120地號,370.65,都市：其他:第二種住宅區,,,1090924,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33636480,90750,,0.0,0,,RPROMLRKJIPFFIE66DA,0.0,0.0,0.0,無
仁武區,房地(土地+建物),仁和街61~90號,63.0,都市：其他:住宅區,,,1091013,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690622,76.06,4,2,3,有,無,4350000,57192,,0.0,0,,RPSPMLRKJIPFFIE86DA,76.06,0.0,0.0,無
美濃區,土地,德興段121~150地號,139.0,,特定農業區,農牧用地,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,20863,,0.0,0,,RPPNMLTJJIPFFKE66DA,0.0,0.0,0.0,無
大寮區,土地,王厝段481~510地號,116.72,都市：其他:河川區,,,1091030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1038808,8900,,0.0,0,,RPTPMLPLRHPFFLE87DA,0.0,0.0,0.0,無
