編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLTJJIPFFAD18DA,22,28.69,共有部分,鋼筋混凝土造,88年2月23日,十四層,
RPOOMLTJJIPFFAD18DA,22,88.10,見其他登記事項,鋼筋混凝土造,88年2月23日,十四層,四層
RPVOMLTJJIPFFAD88DA,14,454.70,見其他登記事項,見其他登記事項,95年5月16日,四層,一層 二層 三層 四層
RPVOMLTJJIPFFAD88DA,14,1.98,見其他登記事項,見其他登記事項,95年5月16日,一層,一層 見其他登記事項
RPTNMLKKJIPFFAD77DA,21,12.39,共有部分,鋼筋混凝土造,88年7月30日,十層,
RPTNMLKKJIPFFAD77DA,21,40.26,共有部分,鋼筋混凝土造,88年7月30日,十層,
RPTNMLKKJIPFFAD77DA,21,7.62,共有部分,鋼筋混凝土造,88年7月30日,十層,
RPTNMLKKJIPFFAD77DA,21,91.28,見其他登記事項,鋼筋混凝土造,88年7月30日,十層,三層
RPTQMLPJJIPFFAD48DA,6,91.42,見其他登記事項,見其他登記事項,103年5月27日,三層,一層 二層 三層 屋頂突出物 騎樓
RPTQMLPJJIPFFAD48DA,6,91.42,見其他登記事項,見其他登記事項,103年5月27日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSNMLLKJIPFFAD77DA,4,.82,見其他登記事項,見其他登記事項,106年1月24日,二十六層,一層
RPSNMLLKJIPFFAD77DA,4,.55,見其他登記事項,見其他登記事項,106年1月24日,二十六層,一層
RPSNMLLKJIPFFAD77DA,4,118.31,見其他登記事項,見其他登記事項,106年1月24日,二十層,十層
RPSNMLLKJIPFFAD77DA,4,.00,見其他登記事項,見其他登記事項,106年1月24日,二十六層,
RPSNMLLKJIPFFAD77DA,4,87.86,見其他登記事項,見其他登記事項,106年1月24日,二十六層,
RPSNMLLKJIPFFAD77DA,4,.00,見其他登記事項,見其他登記事項,106年1月24日,二十六層,
RPTPMLKKJIPFFAD97DA,45,91.40,住家用,加強磚造,65年2月3日,二層,一層 二層
RPVNMLTJJIPFFAD78DA,33,91.50,住家用,鋼筋混凝土造,76年10月14日,四層,四層
RPVNMLTJJIPFFAD78DA,33,14.22,共有部分,鋼筋混凝土造,76年10月14日,四層,
RPWNMLLKJIPFFAD18DA,26,16.02,住家用,鋼筋混凝土造,83年12月16日,十三層,十層
RPWNMLLKJIPFFAD18DA,26,5.58,共有部分,鋼筋混凝土造,83年12月16日,十三層,
RPTNMLTJJIPFFAD58DA,,212.66,住商用,磚造,4年0月0日,二層,一層 二層 騎樓
RPPNMLPKIIPFFAD77DA,1,166.88,住家用,見其他登記事項,109年3月12日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLPKIIPFFAD77DA,1,166.88,住家用,見其他登記事項,109年3月12日,四層,一層 二層 三層 四層 屋頂突出物
RPWOMLNKIIPFFBD48DA,27,167.29,住家用,鋼筋混凝土造,82年5月8日,三層,一層 二層 三層 屋頂突出物
RPPNMLLKJIPFFBD57DA,1,236.16,見其他登記事項,鋼筋混凝土造,109年3月4日,四層,一層 二層 三層 四層
RPPNMLLKJIPFFBD57DA,1,.02,見其他登記事項,鋼筋混凝土造,109年3月4日,一層,
RPTNMLLKJIPFFBD97DA,38,96.21,見其他登記事項,加強磚造,71年6月19日,二層,一層 二層 屋頂突出物
RPTOMLTJJIPFFBD78DA,8,214.70,見其他登記事項,鋼筋混凝土造,101年12月4日,四層,一層 二層 三層 四層
RPTOMLTJJIPFFBD78DA,8,.03,見其他登記事項,鋼筋混凝土造,101年12月4日,一層,
RPTOMLTJJIPFFBD78DA,8,5.11,見其他登記事項,鋼筋混凝土造,101年12月4日,一層,
RPWNMLMJJIPFFBD28DA,,175.58,見其他登記事項,鋼筋混凝土造,109年4月9日,四層,一層 二層 三層 四層
RPOOMLMLIIPFFCD77DA,10,176.98,住家用,鋼筋混凝土造,99年12月13日,十四層,五層
RPOOMLMLIIPFFCD77DA,10,80.04,見其他登記事項,鋼筋混凝土造,99年12月13日,十四層,
RPOOMLMLIIPFFCD77DA,10,39.19,見其他登記事項,鋼筋混凝土造,99年12月13日,十四層,
RPSPMLQKIIPFFCD58DA,39,79.73,住家用,加強磚造,70年7月16日,二層,一層 二層 屋頂突出物
RPSNMLKKJIPFFBD77DA,16,194.42,見其他登記事項,鋼筋混凝土造,93年6月18日,四層,一層 二層 三層 四層
RPTNMLKKJIPFFBD87DA,,192.82,見其他登記事項,鋼筋混凝土造,109年7月21日,四層,一層 二層 三層 四層
RPWNMLPKIIPFFCD68DA,28,142.75,住商用,鋼筋混凝土造,82年2月23日,二層,一層 二層 屋頂突出物 騎樓 夾層
RPQNMLLMIIPFFCD87DA,3,172.79,見其他登記事項,鋼筋混凝土造,106年5月3日,四層,一層 二層 三層 四層
RPXNMLOJJIPFFCD68DA,25,.28,見其他登記事項,鋼筋混凝土造,84年11月15日,二十三層,
RPXNMLOJJIPFFCD68DA,25,4.89,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPXNMLOJJIPFFCD68DA,25,22.75,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPXNMLOJJIPFFCD68DA,25,.11,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPXNMLOJJIPFFCD68DA,25,14.83,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPXNMLOJJIPFFCD68DA,25,57.54,住家用,鋼筋混凝土造,84年11月15日,二十三層,六層
RPXNMLOJJIPFFCD68DA,25,2.31,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPPNMLTJJIPFFCD38DA,13,28.16,住家用,鋼筋混凝土造,97年2月29日,十四層,四層
RPPNMLTJJIPFFCD38DA,13,6.98,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPPNMLTJJIPFFCD38DA,13,9.18,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPWNMLKKJIPFFCD28DA,25,101.80,住家用,鋼筋混凝土造,85年2月3日,十六層,四層
RPWNMLKKJIPFFCD28DA,25,44.54,共有部分,鋼筋混凝土造,85年2月3日,十六層,
RPWNMLKKJIPFFCD28DA,25,15.01,共有部分,鋼筋混凝土造,85年2月3日,十六層,
