鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1090920,土地1建物1車位1,一層,二十層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,1900000,,坡道平面,27.27,1900000,僅車位交易;,RPPOMLNJJIPFFAF87DA,0.0,0.0,0.0,有
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1090930,土地1建物1車位1,一層,二十層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,2150000,,坡道平面,27.27,2150000,僅車位交易;,RPTOMLNJJIPFFAF28DA,0.0,0.0,0.0,有
板橋區,房地(土地+建物)+車位,莊敬路25巷1~30號,8.7,都市：其他:住宅區,,,1091001,土地1建物1車位1,四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860905,126.45,3,2,2,有,有,18000000,142349,坡道平面,0.0,2200000,其他增建;,RPPRMLNJJIPFFAF18DA,74.31,0.0,4.64,有
土城區,房地(土地+建物),中央路二段278巷1~30號,26.45,都市：其他:第二種住宅區,,,1090925,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.15,4,2,2,有,無,7430000,81514,,0.0,0,其他增建;,RPPRMLOJJIPFFAF28DA,91.15,0.0,0.0,無
土城區,房地(土地+建物)+車位,裕華街1~30號,31.92,都市：其他:乙種工業區,,,1090923,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080625,168.37,0,0,0,無,有,16550000,115063,坡道平面,39.31,1700000,,RPVOMLPJJIPFFAF68DA,75.11,2.58,8.39,有
板橋區,房地(土地+建物),中山路一段50巷31~60號,7.84,都市：其他:道路用地,,,1091020,土地2建物1車位0,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860314,50.81,1,1,1,有,有,6800000,133832,,0.0,0,,RPQQMLPJJIPFFAF38DA,33.52,0.0,5.36,有
土城區,房地(土地+建物),裕生路67巷2弄1~30號,25.83,都市：其他:第二種住宅區,,,1091025,土地1建物1車位0,五層，陽臺,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691024,93.24,3,2,2,有,無,9750000,104569,,0.0,0,陽台外推;其他增建;,RPSQMLPJJIPFFAF58DA,93.24,0.0,0.0,無
板橋區,房地(土地+建物),長江路二段1~30號,4.97,都市：其他:住宅區,,,1090916,土地2建物1車位0,十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850120,88.41000000000001,4,2,1,有,有,9800000,110847,,0.0,0,其他增建;,RPSOMLQJJIPFFAF48DA,71.93,0.0,6.36,有
板橋區,房地(土地+建物),金華街85巷1~30號,26.25,都市：其他:道路用地,,,1091010,土地3建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680517,82.64,2,2,1,有,無,9480000,114714,,0.0,0,陽台外推;,RPUOMLQJJIPFFAF68DA,82.64,0.0,0.0,無
板橋區,土地,板翠段31~60地號,48.96,都市：其他:第二種住宅區,,,1091022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15996525,326726,,0.0,0,,RPVOMLQJJIPFFAF78DA,0.0,0.0,0.0,無
