鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,臺北市中正區中華路二段31~60號,0.0,商,,,1090912,土地0建物0車位0,二層,5,套房(1房1廳1衛),住商用,鋼筋混凝土造,,29.62,1,0,1,有,無,有,12800,432,,0.0,0,此為分租套房，房號202，第2層分成3間，一間平均面積為29.62平方公尺,RPRPMLMKIIPFFAA67CC
中正區,建物,臺北市中正區寧波西街91~120號,0.0,住,,,1090914,土地0建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011113,365.19,4,2,3,有,有,有,125000,342,坡道平面,102.38,0,,RPSPMLMKIIPFFAA77CC
中正區,建物,臺北市中正區和平西路二段121~150號,0.0,住,,,1090918,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,加強磚造,0571017,23.07,1,0,1,有,無,有,11000,477,,0.0,0,此為分租套房，房號405，第4層分成5間，一間平均面積為23.07平方公尺,RPTPMLMKIIPFFAA87CC
士林區,建物,臺北市士林區基河路1~30號,0.0,商,,,1090918,土地0建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041104,273.74,2,1,2,有,有,無,100000,365,坡道平面,0.0,0,,RPTOMLMKIIPFFEA28DC
士林區,房地(土地+建物),臺北市士林區磺溪街55巷1~30號,40.0,住,,,1090917,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710920,138.48,3,2,2,有,無,有,36000,260,,0.0,0,,RPPOMLNKIIPFFEA97DC
中正區,建物,臺北市中正區水源路121~150號,0.0,商,,,1091005,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0680309,46.59,1,1,1,有,有,有,12000,258,,0.0,0,台北市都發局社會住宅包租代管計畫,RPSNMLNKIIPFFAA67CC
中正區,建物,臺北市中正區羅斯福路四段136巷6弄1~30號,0.0,商,,,1090915,土地0建物1車位0,全,1,透天厝,,磚造,,51.22,0,0,0,無,無,無,20000,390,,0.0,0,,RPSOMLNKIIPFFAA77CC
中正區,建物,臺北市中正區廈門街113巷1~30號,0.0,住,,,1090921,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,136.76,3,3,3,有,無,無,52000,380,,0.0,0,格局為3+1房3廳3衛，租賃層次為1樓+B1，車位為謄本上附屬建物之停車場,RPTOMLNKIIPFFAA87CC
文山區,建物,臺北市文山區羅斯福路六段121~150號,0.0,商,,,1090915,土地0建物1車位0,十四層,19,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060112,68.56,1,1,1,有,有,有,28000,408,,0.0,0,續租。;,RPWOMLNKIIPFFAA18CC
大安區,建物,臺北市大安區大安路一段16巷1~30號,0.0,住,,,1090930,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881222,38.12,1,0,1,有,有,有,18000,472,,0.0,0,,RPQNMLNKIIPFFFA97CC
