鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區榮民路222巷24弄31~60號,0.0,住,,,1091015,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820403,119.05,3,2,2,有,有,有,14400,121,,0.0,0,,RPSSMLQKIIPFFBH66CC
桃園區,房地(土地+建物),桃園市桃園區民有五街121~150號,9.64,住,,,1091013,土地1建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931231,90.74000000000001,2,2,1,有,有,有,14000,154,,0.0,0,,RPUPMLQKIIPFFAH09CC
桃園區,房地(土地+建物),桃園市桃園區吉昌街181~210號,22.71,住,,,1091015,土地1建物1車位0,見其他登記事項,25,店面(店鋪),住商用,鋼筋混凝土造,0861128,218.5,0,0,0,無,有,無,52000,238,,0.0,0,含稅金，第四年租金調整為53000元，第五年租金調整為54000元,RPXPMLQKIIPFFAH76CC
桃園區,房地(土地+建物),桃園市桃園區永安路91~120號,21.6,商,,,1091009,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730126,88.14,3,2,1,有,無,有,12000,136,,0.0,0,,RPQQMLQKIIPFFAH78CC
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年路1~30號,25.06,,鄉村區,乙種建築用地,1091004,土地2建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,117.63,2,2,1,有,有,有,12000,102,坡道平面,36.44,0,急出租急承租。;租金內含管理費/月＄1440元,RPWNMLQKIIPFFCH66CC
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年二街31~60號,28.32,,鄉村區,乙種建築用地,1091007,土地2建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,130.39000000000001,2,2,2,有,有,有,11000,84,坡道平面,36.44,0,急出租急承租。;租金內含管理費/月＄1640元,RPXNMLQKIIPFFCH76CC
八德區,建物,桃園市八德區東勇街125巷1~30號,0.0,住,,,1091005,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970919,118.26,3,2,2,有,有,有,13100,111,,0.0,0,,RPQNMLQKIIPFFFH98CC
中壢區,房地(土地+建物)+車位,桃園市中壢區西園路60巷1~30號,59.6,,工業區,丁種建築用地,1091015,土地1建物1車位1,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810529,96.94,3,2,2,有,無,有,13000,134,坡道平面,0.0,0,,RPXQMLQKIIPFFBH07DC
龜山區,建物,桃園市龜山區文化二路1~30號,0.0,商,,,1090924,土地0建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970926,177.01999999999998,0,1,1,有,有,無,35000,198,升降平面,28.14,0,,RPWNMLQKIIPFFHH17CC
龜山區,車位,桃園市龜山區文化二路31~60號,0.0,商,,,1090930,土地0建物0車位1,,,其他,,,,29.47,0,0,0,有,有,無,1333,,塔式車位,0.0,1333,依車位所登記公設門牌申報。車位面積無法分算。租金含管理費。,RPVNMLTKIIPFFHH37CC
中壢區,房地(土地+建物),桃園市中壢區永福路961~990號,16.71,住,,,1090925,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830526,113.34,3,2,2,有,有,有,15000,132,,0.0,0,,RPROMLTKIIPFFBH56DC
中壢區,房地(土地+建物),桃園市中壢區永福路1081~1110號,15.05,住,,,1090925,土地1建物1車位0,一層,14,店面(店鋪),住家用,鋼筋混凝土造,0920602,78.72,1,1,1,有,有,無,20000,254,,0.0,0,,RPWOMLTKIIPFFBH07DC
中壢區,房地(土地+建物),桃園市中壢區成都路31~60號,144.0,住,,,1091010,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0850617,356.83,6,1,4,有,無,無,70000,196,,0.0,0,,RPXOMLTKIIPFFBH17DC
蘆竹區,建物,桃園市蘆竹區長壽二街31~60號,20.27,住,,,1091009,土地0建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,86.41,3,2,2,有,有,有,16500,191,,0.0,0,,RPQQMLTKIIPFFEH96DC
蘆竹區,土地,六福段601~630地號,3166.05,工,,,1090921,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,380000,120,,0.0,0,,RPOSMLTKIIPFFEH96DC
平鎮區,建物,桃園市平鎮區金陵路二段514巷1~30號,61.11,,鄉村區,乙種建築用地,1091018,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700213,96.76,3,2,2,有,無,有,13000,134,,0.0,0,,RPWOMLTKIIPFFGH57DC
八德區,房地(土地+建物)+車位,桃園市八德區高城八街61~90號,15.21,商,,,1091007,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950329,148.76,3,2,2,有,有,有,15500,104,坡道平面,0.0,2100,,RPTOMLTKIIPFFFH07CC
平鎮區,房地(土地+建物)+車位,桃園市平鎮區大連街121~150號,14.84,商,,,1091012,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,152.24,3,2,2,有,有,有,16600,109,坡道平面,0.0,2500,,RPTOMLTKIIPFFGH17CC
蘆竹區,建物,桃園市蘆竹區南福街211~240號,0.0,住,,,1090928,土地0建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050518,143.82,2,2,1,有,有,有,22000,153,坡道平面,47.18,0,租金含管理費。,RPRNMLTKIIPFFEH66CC
桃園區,建物,桃園市桃園區中正路901~930號,0.0,住,,,1091007,土地0建物1車位0,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840225,134.31,3,2,2,有,有,有,16800,125,,0.0,0,,RPROMLTKIIPFFAH98CC
桃園區,建物,桃園市桃園區復興路362巷31~60號,0.0,商,,,1090927,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700408,103.21000000000001,2,1,1,有,有,有,13000,126,,0.0,0,,RPXOMLTKIIPFFAH96CC
桃園區,建物,桃園市桃園區中山路507巷61~90號,0.0,工,,,1090929,土地0建物1車位0,見其他登記事項,1,廠辦,見其他登記事項,鋼造,0690802,99.12,0,0,0,無,無,無,32000,323,,0.0,0,,RPQPMLTKIIPFFAH98CC
桃園區,建物,桃園市桃園區建國路61巷31~60號,0.0,住,,,1090930,土地0建物1車位0,見其他登記事項,7,店面(店鋪),見其他登記事項,鋼筋混凝土造,1071224,175.0,0,2,1,有,有,無,35000,200,,0.0,0,112/10/1起租金調整為36000元；113/10/1起租金調整為37000元。租金含管理費。租期內含免租裝潢期。,RPTPMLTKIIPFFAH66CC
桃園區,建物,桃園市桃園區建國路61巷31~60號,0.0,住,,,1090930,土地0建物1車位0,見其他登記事項,7,店面(店鋪),見其他登記事項,鋼筋混凝土造,1071224,175.0,0,2,1,有,有,無,35000,200,,0.0,0,112/10/1起租金調整為36000元，113/10/1起租金調整為37000元。租金含管理費。租期內含免租裝潢期。,RPUPMLTKIIPFFAH76CC
桃園區,建物,桃園市桃園區林森路31~60號,0.0,住,,,1091003,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700120,116.17,3,2,1,有,無,有,12000,103,,0.0,0,,RPWPMLTKIIPFFAH96CC
桃園區,建物,桃園市桃園區民有五街121~150號,0.0,住,,,1091008,土地0建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0931231,61.160000000000004,1,1,1,有,有,有,9200,150,,0.0,0,,RPRQMLTKIIPFFAH56CC
中壢區,建物,桃園市中壢區中新路91~120號,0.0,住,,,1091015,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791208,97.9,3,2,2,有,無,無,8500,87,,0.0,0,續租。;租金含稅。,RPUNMLTKIIPFFBH66CC
中壢區,建物,桃園市中壢區後興路一段1~30號,0.0,住,,,1091015,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831227,117.79,3,2,2,有,有,無,9000,76,,0.0,0,,RPPOMLTKIIPFFBH88CC
中壢區,建物,桃園市中壢區力行北街91~120號,0.0,住,,,1091011,土地0建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700811,70.56,1,1,1,有,無,有,7000,99,,0.0,0,,RPTPMLTKIIPFFBH76CC
中壢區,房地(土地+建物),桃園市中壢區環北路391~420號,42.84,住,,,1090923,土地1建物2車位0,二十二層,22,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810527,515.78,0,0,0,無,有,無,61500,119,,0.0,0,,RPPQMLTKIIPFFBH09CC
中壢區,建物,桃園市中壢區龍安三街1~30號,0.0,住,,,1091014,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880914,126.86000000000001,2,2,1,有,無,有,9000,71,,0.0,0,,RPWQMLTKIIPFFBH17CC
中壢區,建物,桃園市中壢區新中北路1~30號,0.0,住,,,1090929,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840609,81.48,3,2,2,有,有,無,9000,110,,0.0,0,,RPPRMLTKIIPFFBH56CC
中壢區,建物,桃園市中壢區興仁路二段391~420號,0.0,住,,,1090929,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0620818,38.18,2,1,1,有,無,有,8000,210,,0.0,0,,RPRRMLTKIIPFFBH76CC
中壢區,建物,桃園市中壢區自忠二街211~240號,0.0,住,,,1091007,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691114,70.08,3,1,1,有,無,有,10000,143,,0.0,0,,RPQSMLTKIIPFFBH76CC
中壢區,建物,桃園市中壢區大華路158巷1~30號,0.0,住,,,1091013,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811119,95.89,3,2,2,有,無,有,9500,99,,0.0,0,,RPSSMLTKIIPFFBH96CC
桃園區,土地,中路二段271~300地號,496.73,住,,,1090926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,30,,0.0,0,,RPSOMLKLIIPFFAH28CC
蘆竹區,建物,桃園市蘆竹區中山路158巷2弄1~30號,0.0,住,,,1090927,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0831011,255.88,4,2,3,有,有,有,23000,90,,0.0,0,含增建或未登記建物。;租金含管理費。,RPQRMLKLIIPFFEH78CC
大溪區,建物,桃園市大溪區華興街13巷2弄1~30號,0.0,住,,,1090708,土地0建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0670130,64.48,3,2,1,有,無,有,7500,116,,0.0,0,社會住宅,RPXNMLKLIIPFFCH88CC
大溪區,建物,桃園市大溪區文化路121巷31~60號,0.0,住,,,1090825,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090427,99.81,2,2,1,有,無,有,13500,135,一樓平面,0.0,0,社會住宅,RPOOMLKLIIPFFCH08CC
大溪區,建物,桃園市大溪區自強街6巷1~30號,0.0,其他,,,1090710,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0680420,85.67,4,2,2,有,無,有,12000,140,,0.0,0,社會住宅,RPQOMLKLIIPFFCH28CC
龍潭區,建物,桃園市龍潭區民族路312巷121~150號,0.0,,鄉村區,乙種建築用地,1090608,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0710325,126.0,3,2,2,有,無,有,8000,63,,0.0,0,社會住宅,RPROMLKLIIPFFCH38CC
大溪區,建物,桃園市大溪區大鶯路60巷181~210號,0.0,,特定農業區,甲種建築用地,1090612,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850626,73.39,4,2,1,有,有,有,7100,97,,0.0,0,社會住宅,RPSOMLKLIIPFFCH48CC
八德區,建物,桃園市八德區廣興二路1~30號,0.0,商,,,1090825,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,164.77,3,2,2,有,無,有,12400,75,坡道平面,0.0,0,社會住宅 管理費/2600 月,RPXNMLKLIIPFFFH56CC
八德區,建物,桃園市八德區介壽路一段719巷1~30號,0.0,住,,,1090929,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710831,15.51,1,0,1,有,無,有,6700,432,,0.0,0,含管理費、稅金或水電等費用。;部分承租。,RPQOMLKLIIPFFFH58CC
龜山區,房地(土地+建物),桃園市龜山區復興一路121~150號,454.0,商,,,1091007,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0910523,283.54,1,0,1,有,無,無,21500,76,,0.0,0,含管理費、稅金或水電等費用。;僅承租二樓約46.77平方公尺，非承租一整層,RPTOMLKLIIPFFHH56DC
