鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,建物,臺南市東區仁東街1~30號,0.0,住,,,1090926,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871218,80.13,2,1,1,有,有,有,13000,162,,0.0,0,,RPRNMLPKIIPFFCD28CC
安平區,房地(土地+建物),臺南市安平區安北路91~120號,54.28,住,,,1091006,土地1建物2車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,見其他登記事項,1060420,170.83,2,1,3,有,無,有,30000,176,,0.0,0,,RPQNMLPKIIPFFAD97CC
中西區,房地(土地+建物),臺南市中西區金華路三段1~30號,67.0,住,,,1091015,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0551222,129.95,1,2,2,有,無,無,15000,115,,0.0,0,,RPRNMLPKIIPFFAD08CC
北區,建物,臺南市北區開元路485巷1~30號,0.0,商,,,1090926,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701228,60.62,1,1,1,有,有,有,8000,132,,0.0,0,,RPTNMLPKIIPFFAD28CC
安平區,建物,臺南市安平區文平路451~480號,0.0,住,,,1091007,土地0建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830430,159.37,3,2,2,有,無,有,17000,107,坡道機械,0.0,0,,RPVNMLPKIIPFFAD48CC
北區,建物,臺南市北區北成路331~360號,0.0,住,,,1090926,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,0941213,84.61,2,2,1,有,有,有,17000,201,,0.0,0,,RPTOMLPKIIPFFAD38CC
中西區,建物,臺南市中西區康樂街301~330號,0.0,住,,,1090921,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0570315,61.91,4,1,2,有,無,有,15000,242,,0.0,0,,RPVOMLQKIIPFFAD68CC
中西區,建物,臺南市中西區府前一街151~180號,0.0,住,,,1091001,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780112,30.3,1,0,1,有,無,有,5500,182,,0.0,0,參加臺南市社會住宅包租代管第2期計畫,租金為市價9折,RPXOMLQKIIPFFAD88CC
安平區,建物,臺南市安平區安平路370巷3弄1~30號,0.0,住,,,1091010,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640608,69.3,2,2,1,有,無,有,11000,159,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPSPMLQKIIPFFAD48CC
善化區,房地(土地+建物),臺南市善化區民權路1~30號,116.53,住,,,1091008,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0960307,311.97,5,1,6,有,無,無,40000,128,,0.0,0,,RPWNMLQKIIPFFHD76CC
新化區,建物,臺南市新化區民治路33巷1~30號,0.0,住,,,1091001,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841017,130.0,3,2,2,有,無,有,12200,94,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPROMLQKIIPFFHD98CC
永康區,建物,臺南市永康區龍國街240巷1~30號,0.0,住,,,1091001,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681002,70.15,2,2,1,有,無,有,9900,141,,0.0,0,參加臺南市社會住宅包租代管第2期計畫,租金為市價9折,RPROMLQKIIPFFKD66CC
永康區,建物,臺南市永康區仁愛街31~60號,0.0,住,,,1091001,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820428,103.52,2,1,2,有,無,有,10800,104,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPSOMLQKIIPFFKD76CC
永康區,建物,臺南市永康區中華路251巷19弄31~60號,0.0,住,,,1091012,土地0建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810106,114.22999999999999,3,2,2,有,有,無,12000,105,坡道平面,0.0,0,,RPTOMLQKIIPFFKD86CC
安南區,建物,臺南市安南區府安路三段289巷38弄1~30號,0.0,住,,,1090916,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690219,91.64,3,2,2,有,無,無,11000,120,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊,RPXOMLQKIIPFFBD98CC
關廟區,土地,香洋段871~900地號,91.5,住,,,1091001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,13800,151,,0.0,0,,RPROMLQKIIPFFID09CC
仁德區,建物,臺南市仁德區二仁路一段91~120號,9.0,住,,,1091018,土地0建物0車位0,全,4,透天厝,住商用,加強磚造,0660819,9.0,17,1,17,有,無,有,3000,333,,0.0,0,含管理費、稅金或水電等費用。;,RPPNMLTKIIPFFID09CC
安南區,建物,臺南市安南區安中路一段702巷31~60號,0.0,住,,,1091015,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700907,102.66,2,1,2,有,無,無,10000,97,,0.0,0,,RPSNMLTKIIPFFBD68CC
永康區,建物,臺南市永康區中華二路266巷1~30號,0.0,住,,,1090927,土地0建物1車位0,一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850522,78.01,2,2,1,有,有,有,12000,154,,0.0,0,含增建或未登記建物。;租賃範圍不含車位，且無法區分車位面積。;租金含管理費。租期內含免租裝潢期。,RPXOMLTKIIPFFKD57CC
新市區,房地(土地+建物)+車位,臺南市新市區中正路92巷1~30號,19.49,住,,,1091017,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830806,96.19,3,2,2,有,有,有,13500,140,坡道平面,10.87,0,,RPOPMLTKIIPFFHD09CC
善化區,房地(土地+建物)+車位,臺南市善化區陽光大道571~600號,25.44,住,,,1091017,土地1建物1車位0,十層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081120,158.58,3,2,2,有,有,有,25000,158,坡道平面,0.0,0,,RPPPMLTKIIPFFHD56CC
北區,房地(土地+建物),臺南市北區文賢路1030巷11弄1~30號,60.75,住,,,1091010,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0710224,102.32,5,2,2,有,無,有,17000,166,,0.0,0,,RPSNMLTKIIPFFAD58CC
安平區,建物,臺南市安平區國平路151~180號,0.0,商,,,1091016,土地0建物2車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1061020,196.92000000000002,0,0,0,無,無,無,80000,406,,0.0,0,,RPOOMLTKIIPFFAD28CC
中西區,房地(土地+建物),臺南市中西區神農街61~90號,65.0,商,,,1090929,土地1建物1車位0,全,2,透天厝,住家用,磚造,,101.92,0,0,0,無,無,無,23000,226,,0.0,0,,RPQOMLTKIIPFFAD48CC
北區,房地(土地+建物),臺南市北區北成路1~30號,10.34,其他,,,1091016,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881106,133.71,3,2,2,有,有,有,14000,105,,0.0,0,,RPSOMLTKIIPFFAD68CC
北區,建物,臺南市北區公園南路370巷61~90號,0.0,住,,,1090930,土地0建物1車位0,五層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840912,34.84,1,0,1,有,有,有,6800,195,,0.0,0,,RPXOMLTKIIPFFAD56CC
北區,建物,臺南市北區小東路307巷129弄1~30號,0.0,住,,,1090926,土地0建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,0770924,118.71,4,2,3,有,無,有,16000,135,一樓平面,0.0,0,,RPRNMLKLIIPFFAD67CC
