編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLTKIIPFFBH56DC,26,94.74,住家用,鋼筋混凝土造,83年5月26日,十一層,
RPROMLTKIIPFFBH56DC,26,18.60,共有部分,鋼筋混凝土造,83年5月26日,十一層,
RPSSMLQKIIPFFBH66CC,28,102.24,住家用,鋼筋混凝土造,82年4月3日,六層,
RPSSMLQKIIPFFBH66CC,28,16.81,共有部分,鋼筋混凝土造,82年4月3日,六層,
RPWOMLTKIIPFFBH07DC,17,46.99,住家用,鋼筋混凝土造,92年6月2日,十四層,
RPWOMLTKIIPFFBH07DC,17,10.91,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPWOMLTKIIPFFBH07DC,17,20.82,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPQNMLQKIIPFFFH98CC,12,86.15,住家用,鋼筋混凝土造,97年9月19日,十層,
RPQNMLQKIIPFFFH98CC,12,27.93,共有部分,鋼筋混凝土造,97年9月19日,十層,
RPQNMLQKIIPFFFH98CC,12,4.18,共有部分,鋼筋混凝土造,97年9月19日,十層,
RPXOMLTKIIPFFBH17DC,24,356.83,住商用,鋼筋混凝土造,85年6月17日,四層,
RPQQMLTKIIPFFEH96DC,26,86.41,住家用,鋼筋混凝土造,84年1月13日,十一層,
RPRNMLTKIIPFFEH66CC,4,66.46,住家用,鋼筋混凝土造,105年5月18日,十四層,
RPRNMLTKIIPFFEH66CC,4,77.36,共有部份,鋼筋混凝土造,105年5月18日,十四層,
RPWNMLQKIIPFFHH17CC,12,116.74,住家用,鋼筋混凝土造,97年9月26日,八層,
RPWNMLQKIIPFFHH17CC,12,40.48,共有部份,鋼筋混凝土造,97年9月26日,八層,
RPWNMLQKIIPFFHH17CC,12,19.80,共有部份,鋼筋混凝土造,97年9月26日,八層,
RPXNMLQKIIPFFCH76CC,23,82.99,住家用,鋼筋混凝土造,86年6月26日,十五層,
RPXNMLQKIIPFFCH76CC,23,5.37,共有部份,鋼筋混凝土造,86年6月26日,十五層,
RPXNMLQKIIPFFCH76CC,23,1.45,共有部份,鋼筋混凝土造,86年6月26日,十八層,
RPXNMLQKIIPFFCH76CC,23,37.65,見其他登記事項,鋼筋混凝土造,86年6月26日,十八層,
RPXNMLQKIIPFFCH76CC,23,.04,共有部份,鋼筋混凝土造,86年6月26日,一層,
RPXNMLQKIIPFFCH76CC,24,.00,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPXNMLQKIIPFFCH76CC,24,.01,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPXNMLQKIIPFFCH76CC,23,2.83,見其他登記事項,鋼筋混凝土造,86年6月26日,十五層,
RPXNMLQKIIPFFCH76CC,24,.05,見其他登記事項,鋼筋混凝土造,86年1月30日,十四層,
RPROMLTKIIPFFAH98CC,26,98.13,住家用,鋼筋混凝土造,84年2月25日,二十一層,
