鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,車位,新北市板橋區漢生東路241~270號,0.0,其他,,,1090927,土地0建物0車位1,,29,其他,住家用,鋼骨鋼筋混凝土造,0980724,12.700000000000001,0,0,0,有,有,無,3000,,坡道機械,12.7,3000,租金含管理費。,RPPUMLOKIIPFFAF68CC
板橋區,建物,新北市板橋區中山路一段241~270號,0.0,住,,,1090925,土地0建物2車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,0680323,311.17,0,3,2,有,無,無,230000,739,,0.0,0,一層為部分承租不含地下層，二至三層全部承租。租賃期間含免租金裝潢期。有租金調漲。,RPPVMLOKIIPFFAF78CC
板橋區,建物,新北市板橋區金門街151~180號,0.0,住,,,1090926,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961226,110.46,2,2,2,有,有,有,20000,181,,0.0,0,租金含管理費。,RPQVMLOKIIPFFAF88CC
淡水區,房地(土地+建物),新北市淡水區北新路181~210號,12.5,住,,,1091011,土地1建物1車位0,十六層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840728,71.5,2,2,1,有,有,有,13000,182,,0.0,0,,RPRPMLOKIIPFFEF78CC
淡水區,房地(土地+建物)+車位,新北市淡水區崁頂三路91~120號,23.15,住,,,1091009,土地1建物1車位1,二十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071102,153.7,4,2,2,有,有,無,26000,169,坡道平面,30.58,0,,RPTPMLOKIIPFFEF98CC
淡水區,建物,新北市淡水區沙崙路一段126巷61~90號,0.0,住,,,1090926,土地0建物1車位1,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824,153.68,2,2,2,有,有,有,20000,130,坡道平面,26.54,0,租金含管理費。,RPXQMLOKIIPFFEF86CC
三重區,建物,新北市三重區安慶街297巷1弄1~30號,0.0,住,,,1090925,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0640526,67.46,3,2,2,有,無,有,25000,371,,0.0,0,,RPQSMLOKIIPFFGF56CC
三重區,建物,新北市三重區集美街112巷31~60號,0.0,住,,,1090926,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820408,109.51,3,2,2,有,有,有,22000,201,,0.0,0,租金含管理費。,RPRSMLOKIIPFFGF66CC
中和區,建物,新北市中和區中正路271~300號,0.0,住,,,1090927,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970129,82.52000000000001,2,2,1,有,有,有,22500,273,,0.0,0,,RPRQMLOKIIPFFHF56CC
永和區,房地(土地+建物),新北市永和區保生路22巷19弄1~30號,11.08,住,,,1091012,土地1建物1車位0,十八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850322,118.35,3,2,2,有,有,有,32000,270,,0.0,0,含管理費,RPUQMLOKIIPFFHF86CC
